issuer_name,recipient_name,course_name,issue_date,expiry_date,credential_hash,issuer_reputation_score,certificate_age_days,metadata_completeness_score,ocr_confidence_score,template_match_score,domain_verification_status,previous_verification_count,time_since_last_verification_days,label
Stanford University,Yuki Ali,Cybersecurity Analyst,2024-11-19,2028-02-20,d56cea0d3c73540ce06e28a0c3c4c6f020118b43496ef613fde2a2b4998523f6,0.8557663236970374,407,0.9232401138025095,0.9110520342048694,0.8808880625755241,1,3,21.023756980800318,0
University of Oxford,Patricia Tanaka,Network Engineering,2020-04-04,2024-09-25,57e9fae819323cef906ac1136a567f1ca834bbf628d7a94d1fa43aac366231b7,0.8110927777560226,2097,0.9094203629495353,0.8086283519086198,0.8331104518399985,1,7,1.030448322403524,0
Adobe,John Harris,Network Engineering,2020-10-21,2022-01-29,05159111b9aa24c4890703f9b0372f157642add02f505e20cc8da7c7d154d685,0.6441572843653611,1897,0.5684656682371139,0.88221571918703,0.9190760531947457,1,5,84.4103186514541,0
University of Oxford,John Chen,Big Data Analytics,2024-03-02,2025-12-08,54d16dc237db08f14b39461b699d16de80007e74ac29658ff5ec0428d854b8ca,0.6740319825348012,669,0.9238457209185259,,0.9165417253159418,0,5,1.5577548688425173,0
Cisco,Thomas Mueller,Project Management Professional,2020-02-07,2022-07-30,4e9ccaa7999be9f4b7c616b21b424c4a5daeaac35ac9df8e43e5aa77710e0915,0.5209520027733624,2154,0.7903275837444292,0.8187046920482441,0.9534675561467948,1,4,50.430638677673066,0
TU Munich,David Brown,Project Management Professional,2023-07-21,2025-01-28,f230bda939b4864261d97c1e293be841d588e4457357e1b78415d85423ee8c51,0.7817525886856143,894,0.8908771615379385,0.9725039196872625,,1,6,1.9890104451486668,0
NUS Singapore,Pierre Rossi,AI & Deep Learning,2021-04-04,2024-10-27,805b846106609ad1c7350fa6e3b5bece6f4572a6c926197bac61821c9da4c18c,0.9539783871514257,1732,0.7456223451961301,0.8916452069001477,0.927344767818313,1,4,10.218526042905987,0
Adobe,Mohammed Brown,Database Administration,2020-09-17,2023-02-27,455d44ca590b8ebe7fcd42603bf45ff8e1c36296eb496b76b992729ea281ec12,0.8720086502016092,1931,0.9472739944555578,0.8539452847620272,0.6745671567373485,1,4,61.10814962915764,0
CompTIA,Barbara Chen,AI & Deep Learning,2023-10-02,2028-08-28,409b6704f5f49ecd57743fd64722e9901eee943d99212fff864818c060f80b91,0.8034994602459727,821,0.9596242857887148,0.8657567274925687,0.9600389911345304,1,5,17.34489494390495,0
ETH Zurich,Wei Jackson,AI & Deep Learning,2024-08-16,2027-11-03,a5a3ed94d20e5c26356d2fe4a9dbe594bb69abbd0572a51200d74ecff92ceb2b,0.9060153033240549,502,0.9375379545333841,1.0,0.8001227680436303,1,4,68.95202234439745,0
Google,Pierre Garcia,UI/UX Design,2020-09-12,2024-11-28,ae73b123168b3ba61040446bd7d20d6d25d3a8b4782b7f0058fb26b58ba2186f,0.8367440191614055,1936,0.8896780615989702,0.9152338275954841,0.7733134421595217,1,5,3.2414810775289067,0
Coursera,Richard Harris,Big Data Analytics,2020-11-08,2025-10-04,cca91ac52743ad2ac1b04cc41d1a6a31a6248780ef99b9de07c7858e7a24cc52,0.6093510914582992,1879,0.7592709051509042,0.9043210061554042,0.9692131480440871,1,10,6.292302097438684,0
CompTIA,Elizabeth Thomas,Computer Vision,2021-09-08,2025-04-07,e698936b1af59892978b157b887493dbe98c8f790fcd8ddea9c46d95ab99d45a,0.8029580101027224,1575,0.5458548124625962,0.9894151057016702,0.7251950659558412,1,3,43.174000353853614,0
NUS Singapore,Richard Martinez,Blockchain Development,2021-06-10,2022-12-19,2c7e5a4a4f9e0ebd1b37da5d358ceee4d066e2616bad086ab1c12ad3ab39ce5f,0.8596686744595577,1665,0.756985571805718,0.9894534370661109,0.912176106207393,1,4,11.095831368772417,0
NUS Singapore,William Martin,Mobile App Development,2021-01-13,2024-01-24,6e5c52aef62c9f1aec60ca719da8adc007117f8c573034be541448985777173f,0.510079410052596,1813,0.9475582070302515,0.9158729898452425,0.8921554481765593,1,8,17.048705565538768,0
University of Toronto,Linda Jones,Agile Methodology,2025-05-13,2026-10-16,bd0ef297c5aeecf10f3f40dc06c45b6049774b1cd30212ecda246cf7f339b0ce,0.8881970500439653,232,0.7620674275549529,0.8916256489183242,,1,6,66.75088726997156,0
AWS,Elizabeth Johnson,Database Administration,2021-02-16,2025-03-28,9187e32346bc73b81d872e3b396b3930f09373b937399280f36b0eba3f7e3131,0.9731446291167332,1779,0.6421507400887682,0.9461845414015111,0.9907523729226647,1,5,28.46303596484609,0
Stanford University,Fatima Santos,Business Analytics,2023-11-24,2026-12-28,d26f35cc851b87c4e23c45607fc818adb010053ab5e848377720f4af22179cac,0.8934436881562046,768,0.7424140032987825,0.9044058890157102,0.7843752551827213,1,8,5.358757504586181,0
edX,Yuki Martin,Computer Vision,2022-07-13,2023-12-19,7c329c79ed0b454e1a37d8b400b7d33ea0e907d6176ddcac88ff96cfebda7a18,0.9394451793896196,1267,0.8391966866364376,0.8558606984199143,0.9535852964399781,1,6,138.8114564082753,0
CompTIA,Pierre Tanaka,Digital Marketing,2022-10-31,2024-06-21,6c0d1245a684b46a0ca88eb5945356b76114712702ce5b77fe0f0f71f46cb087,0.8714128268321054,1157,0.854814168640734,0.9087731405668831,0.7857526732581078,1,1,0.9849195474159956,0
MIT,Ana Brown,Software Testing,2023-11-20,2026-10-22,1b7cada15a2c01afe57c4c98a001bc2844dfc384af991d59574976bfa38455cf,0.9121439004882018,772,0.7834013017255858,0.8771602194175269,0.8008765698094658,1,7,31.328244629624336,0
Johns Hopkins University,William Rodriguez,Data Science Professional,2021-08-07,2025-08-19,36f1739626bc9b77904cd981282c08cf1db8d980ea18a6b65250cf177c6317a8,0.9098220861661158,1607,0.9974940818091601,0.9361767027872315,0.8278485286454937,1,7,1.1285222222968205,0
